PCPT,MAX_T,MIN_T,AVG_T,SMOKE,PM10,AQI,SO2,O3,City,DATE,AQI_BUCKET,,
0.28,70,53,61.5,0,19.7,1,10,53,Davis Island,1/14/2014,GOOD,,
0.18,66,49,57.5,0,12,1,,49,Davis Island,12/9/2017,GOOD,,
0.56,81,66,73.5,0,13.2,3,,47,Davis Island,12/8/2017,GOOD,,
0.05,90,76,83,0,17.6,4,2,46,Davis Island,8/26/2013,GOOD,,
0.19,62,58,60,0,13.8,6,7,65,Davis Island,1/1/2014,GOOD,,
0,67,43,55,0,29,7,8,39,Davis Island,1/4/2014,GOOD,,s
0.4,68,62,65,0,28.1,7,,41,Davis Island,12/15/2018,GOOD,,
0,73,61,67,0,19.1,8,1,44,Davis Island,1/5/2017,GOOD,,
0,55,42,48.5,0,35,9,18,41,Davis Island,1/16/2014,GOOD,,
0.02,89,76,82.5,0,18.3,9,3,42,Davis Island,10/3/2014,GOOD,,
0.62,89,75,82,0,17.4,9,3,26,Davis Island,8/14/2015,GOOD,,
0.11,86,71,78.5,0,10.6,9,,45,Davis Island,4/8/2019,GOOD,,
0.29,89,80,84.5,0,30.8,9,,51,Davis Island,8/13/2019,GOOD,,
0.41,84,76,80,0,32.2,10,5,31,Davis Island,8/26/2012,GOOD,,
,92,80,86,0,23.6,10,1,45,Davis Island,7/7/2017,GOOD,,
0,85,68,76.5,0,14.2,11,6,40,Davis Island,10/31/2013,GOOD,,
0.16,65,57,61,0,33.5,11,2,48,Davis Island,1/26/2014,GOOD,,
0.06,89,78,83.5,1,15.2,11,1,44,Davis Island,7/14/2015,GOOD,,
0,91,78,84.5,1,19.7,11,0,32,Davis Island,8/11/2015,GOOD,,
0.08,94,81,87.5,0,18.3,11,,32,Davis Island,7/16/2018,GOOD,,
0,67,51,59,0,17.5,11,,50,Davis Island,1/14/2019,GOOD,,
0.72,82,68,75,0,24.6,11,,31,Davis Island,4/19/2019,GOOD,,
0,67,52,59.5,0,11.8,12,2,52,Davis Island,1/2/2012,GOOD,,
0.16,89,78,83.5,1,19.2,12,73,43,Davis Island,7/15/2015,GOOD,,
1.79,91,73,82,0,15.4,12,1,30,Davis Island,8/13/2015,GOOD,,
,90,74,82,1,14.1,12,5,32,Davis Island,8/15/2015,GOOD,,
0.54,92,74,83,0,16.1,12,2,42,Davis Island,8/16/2015,GOOD,,
0,66,38,52,0,17.6,12,5,47,Davis Island,1/25/2016,GOOD,,
0.25,92,75,83.5,0,12,12,3,49,Davis Island,6/30/2017,GOOD,,
0.15,84,71,77.5,0,24.6,12,,46,Davis Island,5/13/2018,GOOD,,
0,79,62,70.5,0,10.2,12,,32,Davis Island,2/25/2019,GOOD,,
0.01,88,70,79,0,28.7,12,,50,Davis Island,4/18/2019,GOOD,,
0,84,73,78.5,0,23.5,13,4,47,Davis Island,10/17/2011,GOOD,,
0.24,74,59,66.5,0,23.9,13,4,31,Davis Island,1/3/2013,GOOD,,
0.26,84,75,79.5,1,17.2,13,1,47,Davis Island,7/16/2015,GOOD,,
0,91,78,84.5,1,16.1,13,0,40,Davis Island,8/6/2015,GOOD,,
0,91,77,84,0,13.8,13,1,39,Davis Island,8/10/2015,GOOD,,
0.11,90,79,84.5,1,13.4,13,1,30,Davis Island,8/12/2015,GOOD,,
0.04,92,76,84,0,22.4,13,18,47,Davis Island,8/17/2015,GOOD,,
0.08,92,79,85.5,0,12.2,13,1,42,Davis Island,8/21/2015,GOOD,,
0,95,80,87.5,0,20.8,13,1,42,Davis Island,8/22/2015,GOOD,,
0,94,78,86,1,27.4,13,1,53,Davis Island,7/4/2017,GOOD,,
0.14,93,77,85,0,25.4,13,3,40,Davis Island,7/6/2017,GOOD,,
0.91,93,75,84,1,12,13,5,33,Davis Island,9/1/2017,GOOD,,
0,88,73,80.5,0,30.6,13,,54,Davis Island,4/13/2019,GOOD,,
0.28,89,75,82,0,28,14,14,26,Davis Island,6/22/2012,GOOD,,
0,84,73,78.5,0,11.7,14,3,33,Davis Island,11/1/2013,GOOD,,
0,77,51,64,0,20.2,14,4,29,Davis Island,11/14/2013,GOOD,,
0.03,75,57,66,0,16.7,14,1,40,Davis Island,1/28/2014,GOOD,,
0.22,85,77,81,1,18.6,14,5,44,Davis Island,7/17/2015,GOOD,,
1.53,86,74,80,1,11.9,14,0,46,Davis Island,8/8/2015,GOOD,,
,94,80,87,0,18.7,14,1,45,Davis Island,8/23/2015,GOOD,,
0,84,72,78,0,15.8,14,2,39,Davis Island,12/19/2016,GOOD,,
0,94,77,85.5,0,19.5,14,1,37,Davis Island,6/29/2017,GOOD,,
1.03,94,74,84,0,29.3,14,9,51,Davis Island,7/5/2017,GOOD,,
0.36,90,79,84.5,1,17.6,14,1,34,Davis Island,7/8/2017,GOOD,,
0.47,94,73,83.5,0,20.4,14,1,34,Davis Island,7/10/2017,GOOD,,
0,91,77,84,0,21.5,14,1,39,Davis Island,9/4/2017,GOOD,,
0,96,77,86.5,0,35.7,14,,54,Davis Island,7/20/2020,GOOD,,
0.01,93,79,86,0,23.4,14,,44,Davis Island,7/21/2020,GOOD,,
0,56,42,49,0,12.2,14,,21,Davis Island,1/10/2021,GOOD,,
0,91,81,86,0,20.7,15,3,46,Davis Island,7/13/2011,GOOD,,
0.34,84,67,75.5,0,14.1,15,2,46,Davis Island,2/6/2012,GOOD,,
0,81,68,74.5,0,22,15,4,34,Davis Island,11/17/2013,GOOD,,
0.31,64,45,54.5,0,24.6,15,10,39,Davis Island,1/29/2014,GOOD,,
0,90,77,83.5,1,13,15,4,48,Davis Island,7/13/2015,GOOD,,
0.09,88,79,83.5,1,13.3,15,1,35,Davis Island,7/18/2015,GOOD,,
0.72,95,76,85.5,1,32.6,15,1,42,Davis Island,6/28/2017,GOOD,,
0,91,79,85,1,10.1,15,,37,Davis Island,7/15/2018,GOOD,,
0.06,93,78,85.5,0,65.6,15,,30,Davis Island,9/26/2018,GOOD,,
,96,78,87,0,27.1,15,,36,Davis Island,7/17/2020,GOOD,,
0.39,94,75,84.5,0,31.9,15,,35,Davis Island,7/24/2020,GOOD,,
0.08,94,77,85.5,0,24.5,15,,22,Davis Island,7/25/2020,GOOD,,
0,91,74,82.5,0,27.3,16,18,62,Davis Island,9/3/2011,GOOD,,
0.32,79,62,70.5,0,36.2,16,9,26,Davis Island,2/13/2013,GOOD,,
0.01,73,63,68,1,17.4,16,6,22,Davis Island,11/15/2013,GOOD,,
0,79,65,72,0,17.6,16,7,44,Davis Island,12/28/2013,GOOD,,
0.32,70,59,64.5,0,18.9,16,1,44,Davis Island,1/27/2014,GOOD,,
,76,62,69,0,19.4,16,9,68,Davis Island,1/13/2015,GOOD,,
,88,78,83,0,14.1,16,2,42,Davis Island,7/19/2015,GOOD,,
0.09,88,74,81,0,14.8,16,1,49,Davis Island,8/7/2015,GOOD,,
0.29,90,77,83.5,0,7.6,16,3,46,Davis Island,8/9/2015,GOOD,,
1.17,92,76,84,0,15.6,16,1,45,Davis Island,8/18/2015,GOOD,,
0,96,79,87.5,0,10.5,16,2,45,Davis Island,8/20/2015,GOOD,,
0,84,72,78,0,20.4,16,2,54,Davis Island,12/18/2016,GOOD,,
0,93,77,85,0,19.8,16,3,27,Davis Island,6/27/2017,GOOD,,
0,87,77,82,0,16.3,16,4,42,Davis Island,7/1/2017,GOOD,,
0.47,91,75,83,0,25.3,16,1,31,Davis Island,7/11/2017,GOOD,,
0,92,77,84.5,1,18.1,16,,30,Davis Island,7/10/2018,GOOD,,
0,92,78,85,0,19,16,,35,Davis Island,7/12/2018,GOOD,,
0.14,91,79,85,0,18.8,16,,41,Davis Island,7/13/2018,GOOD,,
,85,68,76.5,0,29.9,16,,52,Davis Island,11/4/2019,GOOD,,
0.26,91,73,82,1,17.7,16,,37,Davis Island,5/28/2020,GOOD,,
0,93,83,88,1,25.8,16,,27,Davis Island,7/12/2020,GOOD,,
0.52,94,77,85.5,1,30.4,16,,39,Davis Island,7/18/2020,GOOD,,
0.32,94,77,85.5,1,25.4,16,,42,Davis Island,7/19/2020,GOOD,,
0,96,81,88.5,0,21,16,,51,Davis Island,8/25/2020,GOOD,,
,93,78,85.5,0,18.1,16,,40,Davis Island,9/11/2020,GOOD,,
0,86,68,77,0,26.1,16,,30,Davis Island,10/2/2020,GOOD,,
0.83,72,57,64.5,0,12.3,16,,34,Davis Island,2/7/2021,GOOD,,
0.17,72,59,65.5,0,9.2,17,4,21,Davis Island,2/5/2011,GOOD,,
0,90,78,84,0,31.5,17,52,39,Davis Island,7/12/2011,GOOD,,
0.19,88,75,81.5,0,21,17,5,44,Davis Island,9/25/2011,GOOD,,
2.13,86,76,81,0,26.8,17,4,28,Davis Island,8/27/2012,GOOD,,
0,76,61,68.5,0,22.1,17,3,24,Davis Island,1/2/2013,GOOD,,
0.1,91,73,82,0,12.2,17,3,28,Davis Island,7/5/2013,GOOD,,
0,87,72,79.5,0,17.5,17,0,43,Davis Island,11/7/2015,GOOD,,
0,91,80,85.5,0,20.2,17,11,67,Davis Island,6/14/2016,GOOD,,
0.17,90,77,83.5,1,32.3,17,2,42,Davis Island,6/30/2016,GOOD,,
0,89,76,82.5,0,18.8,17,1,56,Davis Island,6/17/2017,GOOD,,
0.15,91,78,84.5,0,17,17,4,41,Davis Island,7/9/2017,GOOD,,
1.29,92,74,83,0,28.4,17,,45,Davis Island,8/28/2018,GOOD,,
0.34,83,70,76.5,0,15.1,17,,41,Davis Island,4/9/2019,GOOD,,
0.73,88,71,79.5,0,30.6,17,,40,Davis Island,4/14/2019,GOOD,,
0,85,61,73,0,10.1,17,,48,Davis Island,4/23/2019,GOOD,,
0.52,82,68,75,0,24.7,17,,38,Davis Island,4/20/2020,GOOD,,
,89,73,81,0,14.4,17,,26,Davis Island,5/29/2020,GOOD,,
,94,80,87,0,35.1,17,,44,Davis Island,7/14/2020,GOOD,,
0.04,95,74,84.5,0,21,17,,37,Davis Island,7/16/2020,GOOD,,
